maintype,grade,FD-score,LiA-score,CLIB-score,CLIB_stop-score,CILT-score,CILT_stop-score
media,3,95,87,46,41,62,65
leesboeken,5,87,80,44,41,65,67
leesboeken,5,88,80,39,37,67,69
school,5,85,76,38,36,70,71
school,4,83,73,41,35,65,69
leesboeken,5,95,83,46,41,62,65
media,3,83,77,45,42,68,70
school,4,60,56,34,28,77,81
media,4,70,63,37,33,75,78
leesboeken,7,95,83,41,42,60,59
media,4,73,68,41,33,73,78
school,5,78,72,39,38,71,71
school,6,74,68,38,34,72,75
media,4,67,59,32,27,77,80
media,4,75,66,39,35,69,72
leesboeken,6,80,73,39,36,69,71
media,4,68,63,37,32,75,77
media,4,81,73,45,37,66,71
school,5,57,56,30,28,84,85
leesboeken,7,79,71,39,37,66,68
leesboeken,7,90,78,44,41,62,63
leesboeken,5,80,73,40,34,68,72
leesboeken,5,77,72,41,40,69,70
leesboeken,2,85,78,45,41,66,69
leesboeken,2,87,81,42,39,67,69
school,5,86,74,42,38,66,69
media,4,63,58,30,27,82,84
media,4,74,64,34,30,71,74
leesboeken,7,74,65,36,31,71,74
media,4,83,75,33,29,75,78
leesboeken,2,95,86,43,39,64,66
leesboeken,5,73,61,35,32,71,72
school,5,86,77,44,40,68,70
leesboeken,7,88,81,47,42,64,67
media,4,57,51,33,31,80,81
media,4,68,57,33,28,74,77
leesboeken,7,87,80,44,42,65,66
school,5,82,71,42,38,64,67
media,4,85,77,46,44,66,67
leesboeken,5,89,82,42,39,66,68
leesboeken,5,76,69,31,30,77,78
leesboeken,7,72,65,39,37,72,73
leesboeken,5,89,84,44,40,64,67
leesboeken,7,62,55,25,23,80,82
media,4,58,49,30,25,79,83
leesboeken,7,91,80,40,37,65,67
leesboeken,5,76,70,36,32,73,75
media,4,58,51,31,28,77,79
leesboeken,4,85,79,40,37,67,69
media,4,79,69,39,35,68,71
school,4,71,60,37,31,70,74
school,4,77,70,34,31,77,79
school,5,96,92,61,56,61,63
leesboeken,1,102,94,46,43,62,64
school,4,78,69,48,46,69,70
leesboeken,5,91,84,53,50,62,63
media,4,63,57,24,20,83,85
school,4,91,85,46,42,63,65
media,4,70,61,38,34,72,75
leesboeken,5,85,78,41,39,65,67
school,6,56,50,32,28,81,84
leesboeken,6,72,61,38,35,69,71
media,3,94,88,46,44,63,64
leesboeken,7,82,75,45,41,67,69
school,4,72,68,35,33,75,76
media,4,63,58,40,33,76,81
leesboeken,5,78,72,42,36,70,74
leesboeken,5,87,77,40,38,67,68
school,3,87,79,46,40,65,69
leesboeken,7,74,65,30,26,71,73
leesboeken,7,92,86,47,44,62,64
leesboeken,7,75,69,36,35,72,72
leesboeken,3,74,65,35,31,71,73
school,5,57,44,23,20,81,83
leesboeken,5,76,65,36,34,71,73
leesboeken,2,76,72,39,36,71,73
leesboeken,2,78,73,39,34,72,74
media,4,82,74,39,34,69,72
leesboeken,5,70,64,37,36,75,76
leesboeken,2,89,79,42,35,64,68
leesboeken,7,72,60,36,31,72,75
leesboeken,2,84,77,44,39,66,68
leesboeken,5,71,65,36,33,72,74
leesboeken,5,96,86,49,47,59,60
leesboeken,5,89,83,46,43,65,66
leesboeken,7,49,37,24,24,80,80
leesboeken,8,81,74,37,36,68,69
leesboeken,5,90,84,40,38,68,68
leesboeken,2,82,70,39,36,68,69
school,5,86,81,53,52,65,66
media,4,68,64,35,30,77,79
leesboeken,5,104,95,55,54,55,56
leesboeken,7,88,82,44,41,64,66
leesboeken,7,71,59,30,25,74,77
media,4,76,62,34,30,70,73
school,6,76,72,40,39,73,74
leesboeken,7,93,82,41,39,63,64
leesboeken,7,83,75,40,39,66,67
leesboeken,7,90,81,39,34,65,68
leesboeken,7,97,89,49,46,62,63
leesboeken,7,78,70,42,36,70,74
leesboeken,5,87,80,38,35,69,71
media,4,77,69,42,39,69,71
school,5,56,51,33,32,78,79
school,4,94,87,56,54,63,64
media,4,81,76,44,41,69,71
school,4,78,72,40,38,70,71
leesboeken,2,94,88,44,41,65,67
media,3,79,75,37,36,72,72
leesboeken,5,80,71,39,37,67,69
media,4,73,64,38,32,69,73
leesboeken,5,76,70,38,37,72,73
school,4,91,76,43,43,61,62
media,3,93,87,49,46,62,63
media,4,69,55,32,29,73,75
school,6,79,71,37,33,69,71
school,6,53,45,27,24,82,84
leesboeken,5,93,81,43,37,64,67
leesboeken,6,75,67,36,33,69,71
leesboeken,7,87,80,41,38,66,68
leesboeken,7,83,77,37,36,67,68
leesboeken,5,66,62,36,33,75,76
school,6,98,91,47,42,62,65
leesboeken,5,101,95,52,51,57,58
leesboeken,2,105,97,52,46,60,64
leesboeken,7,84,76,41,35,67,70
leesboeken,2,77,66,39,33,69,73
leesboeken,5,85,77,43,39,67,69
leesboeken,7,72,61,30,25,73,76
leesboeken,7,90,84,36,32,73,75
leesboeken,8,84,72,36,32,69,71
media,3,94,85,47,45,63,64
leesboeken,2,81,68,33,32,69,70
leesboeken,2,91,83,48,45,61,62
school,5,72,59,40,37,70,72
leesboeken,7,70,59,34,27,72,76
leesboeken,4,65,56,34,31,78,80
media,4,73,66,33,29,77,79
leesboeken,7,65,58,30,28,76,77
media,4,81,71,36,32,73,75
media,4,68,58,34,30,72,74
school,6,83,76,36,32,73,75
leesboeken,2,96,87,43,39,64,67
media,4,80,72,34,31,74,75
school,6,60,51,24,23,78,79
leesboeken,2,80,69,43,39,66,68
school,5,84,78,40,38,70,71
media,4,73,66,41,36,71,74
leesboeken,7,80,69,42,36,66,70
media,4,56,48,23,23,81,81
leesboeken,5,93,87,45,43,64,65
media,4,84,78,48,40,66,71
leesboeken,3,80,71,36,32,71,73
school,5,71,64,31,29,76,78
leesboeken,5,86,80,40,35,70,73
media,4,82,70,48,42,64,68
leesboeken,1,119,112,59,56,59,61
school,6,82,72,39,35,66,69
school,5,64,60,31,29,79,81
media,4,66,60,39,34,74,76
media,4,77,68,44,40,72,74
media,4,78,68,44,40,65,68
leesboeken,6,65,48,32,30,70,71
leesboeken,7,92,84,43,40,65,66
leesboeken,2,53,39,27,22,76,79
media,3,90,84,48,46,63,64
leesboeken,5,78,72,39,36,70,72
media,4,70,60,29,24,76,79
leesboeken,7,88,79,43,41,65,66
leesboeken,5,78,68,39,34,67,70
school,4,81,75,41,38,69,71
media,4,62,52,32,31,75,76
media,4,67,60,36,29,74,77
leesboeken,2,95,85,41,36,64,66
leesboeken,2,86,77,36,33,69,71
school,5,73,67,33,31,77,79
leesboeken,2,82,74,43,40,66,68
leesboeken,2,90,83,43,40,68,69
school,6,92,82,49,43,64,68
school,3,100,92,52,50,59,60
school,5,71,63,42,36,71,75
media,4,68,58,31,25,78,81
leesboeken,7,88,78,46,40,62,66
leesboeken,5,91,80,45,42,61,62
leesboeken,7,91,82,41,37,66,68
school,5,78,65,37,34,67,69
leesboeken,4,84,75,35,32,72,73
leesboeken,2,83,75,40,38,67,68
leesboeken,2,78,73,41,36,71,74
leesboeken,5,88,77,44,40,64,66
leesboeken,5,92,81,44,41,63,65
school,3,97,91,49,42,62,66
media,3,77,72,35,32,72,74
leesboeken,5,92,85,49,47,61,62
media,4,77,71,41,35,74,78
leesboeken,5,84,75,39,36,68,69
leesboeken,5,90,82,34,28,71,75
leesboeken,4,79,74,38,34,74,77
school,3,95,88,50,45,66,69
school,3,78,76,39,35,80,82
school,5,84,75,37,36,68,69
leesboeken,5,77,70,35,33,72,73
school,5,69,57,33,24,74,80
school,5,91,86,49,46,65,66
school,5,80,77,41,38,74,76
school,5,86,75,30,25,71,74
leesboeken,2,65,51,28,24,75,77
leesboeken,5,86,81,43,38,68,70
leesboeken,7,83,74,39,33,68,72
school,4,94,90,59,55,64,66
media,4,86,76,51,48,62,64
leesboeken,5,98,84,46,43,61,63
leesboeken,5,84,78,42,35,68,73
leesboeken,5,82,75,40,36,69,71
leesboeken,5,93,82,40,38,63,64
leesboeken,5,87,80,46,42,64,66
leesboeken,8,81,71,35,30,69,71
leesboeken,7,64,55,30,26,78,81
media,3,100,91,45,41,60,62
media,3,79,74,36,35,73,74
leesboeken,2,66,41,32,27,70,72
school,6,72,68,42,32,74,80
leesboeken,5,84,69,41,37,64,67
school,5,66,61,29,24,81,84
school,6,93,82,46,44,60,61
school,5,63,58,30,23,80,84
media,4,79,66,41,39,66,67
media,4,73,66,36,33,74,76
media,4,72,63,40,35,72,75
school,4,71,63,40,33,72,75
leesboeken,7,73,63,29,27,75,77
media,4,70,63,41,36,74,77
school,4,103,95,54,50,61,63
leesboeken,5,68,54,31,27,76,79
media,4,77,67,42,37,68,71
leesboeken,7,66,56,26,27,78,78
leesboeken,7,65,54,24,20,81,84
media,4,78,65,38,36,70,71
leesboeken,2,85,80,46,38,70,74
school,6,78,64,43,38,66,69
leesboeken,7,82,73,38,35,68,70
leesboeken,2,76,64,38,33,68,71
media,4,79,69,46,40,65,69
media,4,82,71,46,42,62,64
school,5,87,79,45,39,63,66
school,5,87,82,45,41,67,70
school,4,95,86,40,39,66,67
media,4,71,64,34,29,78,80
media,4,81,67,39,34,67,70
school,6,78,64,43,38,66,69
media,4,67,59,37,35,75,76
leesboeken,2,75,62,41,38,69,71
school,6,87,84,57,50,71,75
media,4,75,60,34,34,69,69
school,5,57,53,34,30,80,82
leesboeken,3,89,77,44,37,63,67
media,4,71,60,40,37,71,73
leesboeken,5,91,78,43,40,62,64
leesboeken,5,78,69,38,35,68,69
school,3,92,83,45,39,64,67
leesboeken,5,86,79,45,41,64,67
school,5,103,95,56,52,55,58
leesboeken,5,88,82,45,39,68,71
media,4,87,76,40,35,68,71
leesboeken,7,74,66,31,29,76,77
leesboeken,7,65,57,30,27,76,78
leesboeken,5,92,85,48,45,61,63
leesboeken,3,84,75,43,40,65,67
leesboeken,2,94,88,43,40,64,66
media,4,79,71,40,36,72,74
media,4,82,76,38,33,72,75
school,4,61,54,39,34,74,78
media,4,58,51,27,24,82,83
media,4,72,63,42,39,68,69
leesboeken,7,84,69,46,41,61,64
media,4,73,64,42,35,68,72
leesboeken,8,92,81,48,46,61,62
media,4,61,57,38,33,78,81
school,6,44,41,28,22,85,89
school,6,76,68,38,33,68,70
school,4,66,63,41,38,74,75
school,4,89,82,46,43,65,67
school,6,74,65,39,35,70,72
leesboeken,2,82,75,36,33,71,73
media,4,60,55,33,28,78,80
leesboeken,7,81,63,42,38,63,65
media,4,79,69,34,30,74,76
school,3,91,83,48,43,62,65
leesboeken,5,69,60,35,30,75,77
